新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
,客货轮机长和高级船员,,,,,,503002,4,,,标准,,
,客货轮大副,,,,,,503003,5,,,1.25,,
,客货轮二副,,,,,,503004,5,,,1.25,,
,客货轮三副,,,,,,503005,5,,,1.25,,
,客货轮大管轮,,,,,,503006,5,,,1.25,,
,客货轮二管轮,,,,,,503007,5,,,1.25,,
,客货轮三管轮,,,,,,503008,5,,,1.25,,
,客货轮报务员,,,,,,503009,5,,,1.25,,
,客货轮事务长,,,,,,503010,5,,,1.25,,
,客货轮医务人员及一般船员,,,,,,503011,5,,,1.25,,
,客货轮水手长,,,,,,503012,5,,,1.25,,
,客货轮水手,,,,,,503013,5,,,1.5,,
,客货轮铜匠,,,,,,503014,5,,,1.5,,
,客货轮木匠,,,,,,503015,5,,,1.5,,
,客货轮泵匠,,,,,,503016,5,,,1.5,,
,客货轮电机师,,,,,,503017,5,,,1.25,,
,客货轮厨师,,,,,,503018,5,,,1.25,,
,客货轮服务生,,,,,,503019,5,,,1.25,,
,客货轮实习生,,,,,,503020,5,,,1.25,,
,游览船工作人员,,,,,,503021,5,,,1.5,,
,小汽艇工作人员,,,,,,503022,5,,,1.75,,
,码头工人及领班,,,,,,503023,5,,,2,,
,推高机操作员,,,,,,503024,4,,,1.75,,
,港口仓库管理人,,,,,,503025,2,,,标准,,
,港口作业领航员,,,,,,503026,4,,,标准,,
,港口作业引水人,,,,,,503027,4,,,标准,,
,港口作业业务人员,,,,,,503028,2,,,标准,,
,港口作业稽查人员,,,,,,503029,3,,,标准,,
,港口作业缉私人员,,,,,,503030,5,,,1.5,,
,拖船驾驶及工作人员,,,,,,503031,4,,,1.5,,
,渡轮驾驶及工作人员,,,,,,503032,4,,,1.25,,
,救难船员,,,,,,503033,6,,,拒保,,
,港口门吊操作人员,,,,,,503034,2,,,标准,,
,潜水员,,,,,,503035,拒保,,,拒保,,
运输业,,,,,,,,,,,,,
,,,,,船舶机工,,,,503036,6,,,1.75
,,,,,船舶轮机员,,,,503037,6,,,1.75
,,,,,船舶加油,,,,503038,3,,,标准
,,,,,无线电航标操作工,,,,503039,3,,,标准
,,,,,视觉航标工(灯塔\航标维护保养),,,,503040,6,,,1.75
,,,,,港口维护工(码头维修\水面防污),,,,503041,5,,,1.5
,,,,,航道航务施工工人,,,,503042,拒保,,,拒保
,,,空中运输及设 备操作,,航空站站长,,,,504001,1,,,标准
,,,,,航空站播音员,,,,504002,1,,,标准
,,,,,航空站服务室人员,,,,504003,1,,,标准
,,,,,航空站一般内勤,,,,504004,1,,,标准
,,,,,航空站塔室工作人员,,,,504005,1,,,标准
,,,,,航空站业务人员,,,,504006,1,,,标准
,,,,,航空站检查人员,,,,504007,2,,,标准
,,,,,航空站运务人员,,,,504008,2,,,标准
,,,,,航空站缉私人员,,,,504009,3,,,标准
,,,,,航空站内清洁工人,,,,504010,2,,,标准
,,,,,机场内交通车司机,,,,504011,2,,,标准
,,,,,航空行李货运搬运员,,,,504012,3,,,标准
,,,,,飞机洗刷人员(外),,,,504014,4,,,1.5
,,,,,加添燃料员,,,,504013,4,,,标准
,,,,,航空清洁工(内),,,,504015,2,,,标准
,,,,,航空跑道维护工,,,,504016,3,,,1.25
,,,,,航空站机械员,,,,504017,4,,,1.25
,,,,,民用航空器修理维护人员,,,,504018,4,,,1.25
,,,,,航空公司办事处人员,,,,504019,1,,,标准
,,,,,航空公司票务人员,,,,504020,1,,,标准
,,,,,机场柜台人员,,,,504021,1,,,标准
,,,,,航空公司清仓员,,,,504022,2,,,标准
,,,,,航空货运一般内勤,,,,504023,1,,,标准
,,,,,航空货运外务人员,,,,504024,2,,,标准
,,,,,航空货运报关人员,,,,504025,2,,,标准
,,,,,航空货运理货员,,,,504026,3,,,标准
,,,,,民航机飞行员,,,,504027,4,,,标准
,,,,,机上服务员,,,,504028,4,,,标准
,,,,,直升机飞行员,,,,504029,6,,,1.75
,,,,,航空通信雷达导航员,,,,504030,1,,,标准
,,,,,航空通信雷达设备维护人员,,,,504031,3,,,标准
,,,,,航空摄影人员,,,,504032,6,,,1.75
,,,,,航空器材员,,,,504033,3,,,标准
,,,,,航空气象员,,,,504034,1,,,标准
,,,,,建筑师,,,,701001,1,,,标准
,,,,,制图员,,,,701002,1,,,标准
,,,,,内勤工作人员,,,,701003,1,,,标准
,,,,,测量员,,,,701004,3,,,标准
,,,,,工程师,,,,701005,3,,,标准
,,,,,监工,,,,701006,3,,,标准
建筑公司,业务员,,,,,,701007,2,,,标准,,
,引导员,,,,,,701008,2,,,标准,,
,建筑工人领班(不参与工作),,,,,,701009,4,,,标准,,
,"承包商(不亲自作业==偶尔去现场巡视==若亲自作业请参照具体工种)",,,,,,701022,2,,,标准,,
,短工,,,,,,701033,拒保,,,拒保,,
施工架搭设,,鹰架架设工人,,,,,701018,拒保,,,拒保,,
土石方施工,凿岩工人,,,,,,701035,拒保,,,拒保,,
,爆破工人,,,,,,701036,拒保,,,拒保,,
,"土石方机械操作工人(推土机\铲运机\挖掘机\打桩机驾驶操作人员)",,,,,,701037,5,,,1.5,,
砌筑,砌筑工人,,,,,,701038,5,,,1.25,,
,泥水匠,,,,,,701012,6,,,2,,
,磨石工人,,,,,,701023,3,,,标准,,
,洗石工人,,,,,,701024,3,,,标准,,
混凝土配制及 制品加工,混凝土工人,,,,,,701039,4,,,1.25,,
,混凝土制品模具工人,,,,,,701040,4,,,1.25,,
,钢筋工人,,,,,,701041,5,,,1.5,,
,混凝土混合机操作员,,,,,,701013,4,,,标准,,
工程防水\排水,防渗墙工人,,,,,,701042,4,,,1.25,,
,排水工程人员,,,,,,701027,4,,,1.25,,
,防水工程员,,,,,,701028,4,,,1.25,,
装饰装修,设计制图人员,,,,,,705001,1,,,标准,,
,地毯之装设人员,,,,,,705002,2,,,标准,,
,室内装璜人员,,,,,,705003,4,,,标准,,
,室外装璜人员(高空),,,,,,705004,6,,,2,,
,承包商，监工,,,,,,705005,2,,,标准,,
,装饰装修工人,,,,,,705006,4,,,1.25,,
,室内成套设备装饰工人,,,,,,705007,3,,,标准,,
,木匠(室内),,,,,,701011,3,,,标准,,
,木匠(室外及高空),,,,,,701029,6,,,2,,
,建筑油漆工(室内),,,,,,701014,4,,,1.5,,
,建筑油漆工(室外及高空),,,,,,701030,6,,,2,,
,建筑水电工(室内),,,,,,701015,4,,,1.5,,
,建筑水电工(地下),,,,,,701031,拒保,,,拒保,,
,建筑焊工(室内),,,,,,701019,5,,,1.5,,
,建筑焊工(室外及高空),,,,,,701034,6,,,2,,
,铝\铁门窗装修工人,,,,,,701026,5,,,1.5,,
,安装工人(室外及高空),,,,,,701025,6,,,2,,
,石棉瓦\浪板安装工人,,,,,,701043,4,,,1.5,,
,玻璃幕墙安装工人,,,,,,701044,拒保,,,拒保,,
,水暧工,,,,,,701045,3,,,标准,,
古建筑修建,古建筑结构施工工人,,,,,,701046,4,,,1.25,,
,古建筑装饰工人,,,,,,701047,4,,,1.25,,
,,工程师,,,,,702001,3,,,标准,,
工程施工,,,,,,,,,,,,,
,,,筑路\养护\维 修,,领班，监工,,,,702002,3,,,标准
,,,,,道路工程机械操作员,,,,702004,4,,,1.25
,,,,,道路工程车辆驾驶员,,,,702005,4,,,1.25
,,,,,山地铺设工人,,,,702006,5,,,1.5
,,,,,平地铺设工人,,,,702007,4,,,1.25
,,,,,维护工人,,,,702008,4,,,1.25
,,,,,电线架设及维护工人,,,,702009,5,,,1.5
,,,,,管道铺设及维护工人,,,,702010,4,,,1.5
,,,,,高速公路工程人员,,,,702011,5,,,1.25
,,,,,线桥专用机械操作工人,,,,702012,5,,,1.5
,,,,,铁路舟桥工人,,,,702013,5,,,1.5
,,,,,道岔制修工人,,,,702014,5,,,1.5
,,,,,枕木处理工人,,,,702015,4,,,1.25
,,,,,桥梁工程人员,,,,706006,5,,,1.75
,,,,,隧道工程人员,,,,706007,6,,,2
,,,工程机械设备 安装,,电梯\升降机安装工人,,,,704001,5,,,1.75
,,,,,电梯\升降机修理及维护工人,,,,704002,5,,,1.75
,,,,,电梯操作员(不包括矿场使用者),,,,704003,2,,,标准
,,,,,机械设备安装工人,,,,704004,3,,,1.25
,,,,,电气设备安装工人,,,,704005,4,,,1.25
,,,,,管工,,,,704006,4,,,1.25
,,,,,防火系统\报警器安装人员,,,,704007,4,,,1.25
,,,起重装卸机械 操作,,起重装卸机操作工人,,,,704008,4,,,1.25
,,,,,起重工人,,,,704009,6,,,1.5
,,,,,输送机操作工人,,,,704010,3,,,标准
,,,,,闸门运行工人,,,,704011,3,,,标准
,,,,,索道运输机械操作工人,,,,704012,3,,,标准
,,,其他工程施工,,建筑工程车辆驾驶员,,,,701020,5,,,1.25
,,,,,建筑工程车辆机械操作员,,,,701021,5,,,1.25
,,,,,工地看守员,,,,706003,4,,,1.25
,,,,,海湾港口工程人员,,,,706004,5,,,1.75
,,,,,潜水工作人员,,,,706008,拒保,,,拒保
,,,,,爆破工作人员,,,,706009,拒保,,,拒保
,,,,,挖泥船工人,,,,706010,5,,,1.5
建筑材料,,,水泥(含石灰\ 石膏),,工程师,,,,806001,2,,,标准
,,,,,技师,,,,806002,2,,,标准
,,,,,领班,,,,806003,3,,,标准
,,,,,工人,,,,806004,4,,,1.5
,,,,,采掘工,,,,806006,6,,,拒保
,,,,,水泥生产制造工人,,,,806007,6,,,2
,,,,,水泥制品工人,,,,806008,6,,,2
,,,,,石灰石焙烧工人,,,,806009,6,,,2
,,,墙体屋面材料 生产,,砖\瓦生产工人,,,,806010,3,,,1.25
,,,,,加气混凝土制造工人,,,,806011,6,,,2
,,,,,纸面石膏板生产工人,,,,806012,3,,,1.25
,,,,,石膏浮雕板工人,,,,806013,3,,,1.25
,,,,,监工(不参与制造过程),,,,806014,2,,,标准
,,,,,,装饰石材生产工人,,,806015,5,,,1.5
,,,防水\保温\吸 音材料生产,,油毡生产工人,,,,806016,3,,,1.25
,,,,,高分子防水卷材生工人,,,,806017,3,,,1.25
,,,,,保温材料生产工人,,,,806018,4,,,1.25
,,,,,吸音材料生产工人,,,,806019,4,,,1.25
,,,,,珍珠岩制造工人,,,,806020,4,,,1.25
,,,耐火材料生产,,耐火材料技师,,,,806021,2,,,标准
,,,,,耐火原材料加工工人,,,,806022,3,,,1.25
,,,,,耐火材料成型工人,,,,806023,3,,,1.25
,,,,,耐火材料烧成工人,,,,806024,4,,,1.25
,,,,,耐火制品浸油工人,,,,806025,4,,,1.25
,,,,,耐火纤维制品工人,,,,806026,4,,,1.25
钢铁业,,,钢铁业,,技师,,,,801001,2,,,标准
,,,,,工程师,,,,801002,2,,,标准
,,,,,领班，监工,,,,801003,3,,,标准
,,,,,一般工人,,,,801004,4,,,1.25
,,,炼铁,,冶炼风机工人,,,,801005,3,,,1.25
,,,,,烧结球团原料工人,,,,801006,4,,,1.25
,,,,,烧结工人,,,,801007,4,,,1.25
,,,,,球团焙烧工人,,,,801008,4,,,1.25
,,,,,绕结成品工人,,,,801009,4,,,1.25
,,,,,高炉原料工人,,,,801010,5,,,1.5
,,,,,高炉炉前工人,,,,801011,拒保,,,拒保
,,,,,高炉运转工人,,,,801012,5,,,1.5
,,,炼钢,,炼钢原料工人,,,,801013,5,,,1.75
,,,,,平炉炼钢工人,,,,801014,5,,,1.75
,,,,,转炉炼钢工人,,,,801015,5,,,1.75
,,,,,电炉炼钢工人,,,,801016,5,,,1.75
,,,,,炼钢浇铸工人,,,,801017,5,,,1.75
,,,,,炼钢准备工人,,,,801018,5,,,1.5
,,,,,整脱模工人,,,,801019,5,,,1.5
,,,铁合金冶炼,,铁合金原料工人,,,,801020,3,,,1.25
,,,,,铁合金电炉治炼工人,,,,801021,5,,,1.5
,,,,,铁合金焙烧工人,,,,801022,4,,,1.25
,,,,,铁合金湿法治工人,,,,801023,4,,,1.25
,,,,,铁合金炉外法治炼工人,,,,801024,4,,,1.25
,,,"重有色金属冶炼",,重冶备料工人,,,,801025,4,,,1.25
,,,,,焙烧工人,,,,801026,4,,,1.25
,,,,,火法冶炼工人,,,,801027,5,,,1.5
,,,,,湿法冶炼钢工人,,,,801028,4,,,1.25
,,,,,电解精炼工人,,,,801029,4,,,1.25
,,,,,烟气制酸工人,,,,801030,5,,,1.5
,,,,,氧化铝制取工人,,,,801031,4,,,1.25
,,,,,铝电解工人,,,,801032,4,,,1.25
,,,,,镁冶炼工人,,,,801033,4,,,1.25
,,,,,硅冶炼工人,,,,801034,4,,,1.25
,,,稀贵金属,,,钨\钽\钛等稀贵金属冶炼工人,,,801035,4,,,1.25
,,,冶炼,,,半导体材料制造人员,,,801036,4,,,1.25
,,,金属轧制,,轧制原料工人,,,,801037,4,,,1.25
,,,,,金属轧制工人,,,,801038,5,,,1.5
,,,,,酸洗工人,,,,801039,5,,,1.5
,,,,,金属材料涂层工人,,,,801040,4,,,1.25
,,,,,金属材料热处理工人,,,,801041,5,,,1.5
,,,,,焊管工人,,,,801042,6,,,1.75
,,,,,精整工人,,,,801043,5,,,1.5
,,,,,金属材料丝拉拔工人,,,,801044,5,,,1.5
