新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
,,,桌球,,教练,,,,2103001,2,,,标准
,,,,,桌球球员,,,,2103002,2,,,标准
,,,羽球,,教练,,,,2104001,2,,,标准
,,,,,羽球球员,,,,2104002,2,,,标准
,,,游泳,,教练,,,,2105001,2,,,标准
,,,,,游泳人员,,,,2105002,2,,,标准
,,,射箭,,教练,,,,2106001,2,,,标准
,,,,,射箭人员,,,,2106002,2,,,标准
,,,网球,,教练,,,,2107001,2,,,标准
,,,,,网球人员,,,,2107002,2,,,标准
,,,垒球,,教练,,,,2108001,2,,,标准
,,,,,垒球人员,,,,2108002,2,,,标准
,,,壁球,,工作人员,,,,2108003,2,,,标准
,,,,,教练,,,,2108004,2,,,标准
,,,滑冰,,教练,,,,2109001,2,,,标准
,,,,,溜冰人员,,,,2109002,2,,,标准
,,,射击,,教练,,,,2110001,2,,,标准
,,,,,射击人员,,,,2110002,2,,,标准
,,,民俗体育活动,,教练,,,,2111001,2,,,标准
,,,,,民俗体育活动人员,,,,2111002,2,,,标准
,,,举重,,教练,,,,2112001,2,,,标准
,,,,,举重人员,,,,2112002,3,,,标准
,,,篮球,,教练,,,,2113001,2,,,标准
,,,,,篮球球员,,,,2113002,3,,,标准
,,,排球,,教练,,,,2114001,2,,,标准
,,,,,排球球员,,,,2114002,3,,,标准
,,,棒球,,教练,,,,2115001,2,,,标准
,,,,,棒球球员,,,,2115002,3,,,标准
田径,教练,,,,,,2116001,2,,,标准,,
,与赛人员,,,,,,2116002,3,,,标准,,
体操,教练,,,,,,2117001,2,,,标准,,
,体操人员,,,,,,2117002,3,,,标准,,
滑草,教练,,,,,,2118001,3,,,标准,,
,滑草人员,,,,,,2118002,3,,,标准,,
帆船,教练,,,,,,2119001,4,,,1.5,,
,驾乘人员,,,,,,2119002,4,,,1.5,,
划船,教练,,,,,,2120001,2,,,标准,,
,驾乘人员,,,,,,2120002,3,,,标准,,
泛舟,教练,,,,,,2121001,3,,,标准,,
,驾乘人员,,,,,,2121002,3,,,标准,,
巧固球,教练,,,,,,2122001,2,,,标准,,
,巧固球球员,,,,,,2122002,3,,,标准,,
手球,教练,,,,,,2123001,2,,,标准,,
,手球球员,,,,,,2123002,3,,,标准,,
风浪板,教练,,,,,,2124001,4,,,1.5,,
,驾乘人员,,,,,,2124002,4,,,1.5,,
水上摩托车,教练,,,,,,2125001,4,,,1.5,,
,驾乘人员,,,,,,2125002,4,,,1.5,,
足球,教练,,,,,,2126001,2,,,标准,,
,足球球员,,,,,,2126002,4,,,1.25,,
曲棍球,教练,,,,,,2127001,2,,,标准,,
,曲棍球球员,,,,,,2127002,5,,,1.25,,
冰上曲棍球,教练,,,,,,2128001,3,,,标准,,
,冰上曲棍球球员,,,,,,2128002,6,,,1.5,,
橄榄球,教练,,,,,,2129001,2,,,标准,,
,橄榄球球员,,,,,,2129002,6,,,2,,
自行车,教练,,,,,,2130001,2,,,标准,,
,自行车人员,,,,,,2130002,3,,,标准,,
角力,教练,,,,,,2131001,3,,,1.5,,
,角力人员,,,,,,2131002,拒保,,,拒保,,
摔交,教练,,,,,,2132001,3,,,1.5,,
,摔跤人员,,,,,,2132002,拒保,,,拒保,,
柔道,教练,,,,,,2133001,3,,,1.5,,
,柔道人员,,,,,,2133002,拒保,,,拒保,,
空手道,教练,,,,,,2134001,3,,,1.5,,
,空手道人员,,,,,,2134002,拒保,,,拒保,,
跆拳道,教练,,,,,,2135001,3,,,1.5,,
,跆拳道人员,,,,,,2135002,拒保,,,拒保,,
武术,武术人员,,,,,,2136001,拒保,,,拒保,,
,教练,,,,,,2136002,3,,,1.5,,
拳击,教练,,,,,,2137001,3,,,标准,,
,拳击人员,,,,,,2137002,拒保,,,拒保,,
潜水,教练,,,,,,2138001,拒保,,,拒保,,
,潜水人员,,,,,,2138002,拒保,,,拒保,,
体育,,,,,,,,,,,,,
,,,滑水,,教练,,,,2139001,拒保,,,拒保
,,,,,滑水人员,,,,2139002,拒保,,,拒保
,,,滑雪,,教练,,,,2140001,拒保,,,拒保
,,,,,滑雪人员,,,,2140002,拒保,,,拒保
,,,马术,,教练,,,,2141001,拒保,,,拒保
,,,,,马术人员,,,,2141002,拒保,,,拒保
,,,特技表演,,教练,,,,2142001,拒保,,,拒保
,,,,,特技表演人员,,,,2142002,拒保,,,拒保
,,,雪车,,教练,,,,2143001,拒保,,,拒保
,,,,,与赛人员,,,,2143002,拒保,,,拒保
,,,滑翔机具,,教练,,,,2144001,拒保,,,拒保
,,,,,驾驶人员,,,,2144002,拒保,,,拒保
,,,汽车、机车赛 车,,教练,,,,2145001,拒保,,,拒保
,,,,,赛车人员,,,,2145002,拒保,,,拒保
,,,跳伞,,教练,,,,2146001,拒保,,,拒保
,,,,,跳伞人员,,,,2146002,拒保,,,拒保
无业,,,无业,,学龄前儿童,,,,2147001,1,,,标准
,,,,,离退休人员（无兼职）,,,,2147003,1,,,标准
