个人寿险投/被保险人职业代码表（2010）,,,,,,
大分类,中分类,小分类,细类（职业）,职业内容,职业风险等级,住院险风险等级
,,20305兽医兽药技术人员,2030501兽医,兽医,2,1
,,,2030502兽药技术人员,兽药技术人员,2,1
,,20306畜牧与草业技术人员,2030601畜牧技术人员,畜牧技术人员,2,1
,,,2030602草业技术人员,草业技术人员,2,1
,,20399其他农业技术人员,"2039901农业技师、指导员",农业技师、指导员,2,1
,204飞机和船舶技术人员,20401旋翼式飞机飞行人员和领航人员,"2040101飞行驾驶员",飞行驾驶员,6,2
,,,2040102飞机机械员,飞机机械员,6,1
,,,2040103飞行领航员,飞行领航员,6,1
,,,2040104飞行通信员,飞行通信员,6,1
"第二大类2专业技术人员",204飞机和船舶技术人员,20402船舶指挥和引航人员,2040201甲板部技术人员,甲板部技术人员,4,1
,,,2040202轮机部技术人员,轮机部技术人员,4,1
,,,"2040203船舶引航员",船舶引航员,4,1
,,,"2040204船长",船长,6,1
,,,"2040205轮机长",轮机长,4,1
,,,"2040206大副",大副,4,1
,,,"2040207二副",二副,4,1
,,,"2040208三副",三副,4,1
,,,"2040209大管轮",大管轮,4,1
,,,"2040210二管轮",二管轮,4,1
,,,"2040211三管轮",三管轮,4,1
,,,"2040212报务员",报务员,4,1
,,,"2040213事务长",事务长,4,1
,,,"2040214引水员",引水员,4,1
,,20403喷气式民航班机飞行人员和领航人员,2040301民航飞机驾驶员,民航飞机驾驶员,4,1
,,,2040302民航飞机机械员,民航飞机机械员,4,1
,,,2040303民航飞行领航员,民航飞行领航员,4,1
,,,2040304民航飞行通信员,民航飞行通信员,4,1
,205卫生专业技术人员,20501西医医师,2050101内科医师,内科医师,1,1
,,,2050102外科医师,外科医师,2,1
,,,2050103儿科医师,儿科医师,1,1
,,,2050104妇产科医师,妇产科医师,1,1
,,,2050105眼科医师,眼科医师,1,1
,,,2050106耳鼻喉科医师,耳鼻喉科医师,1,1
,,,2050107口腔科医师,口腔科医师,1,1
,,,2050108皮肤科医师,皮肤科医师,1,1
,,,"2050109精神科医师",精神科医师,3,1
,,,2050110心理医师,心理医师,1,1
,,,2050111传染病科医师,传染病科医师,3,1
,,,2050112急诊科医师,急诊科医师,2,1
,,,2050113康复科医师,康复科医师,1,1
"第二大类2专业技术人员",205卫生专业技术人员,20501西医医师,2050114麻醉科医师,麻醉科医师,1,1
,,,2050115病理科医师,病理科医师,1,1
,,,2050116放射科医师,放射科医师,2,1
,,,2050117核医学医师,核医学医师,2,1
,,,2050118超声诊断科医师,超声诊断科医师,1,1
,,,2050119放射肿瘤科医师,放射肿瘤科医师,2,1
,,,"2050120全科医师",全科医师,1,1
,,,2050121乡村医师,乡村医师,2,1
,,,2050122妇幼保健医师,妇幼保健医师,1,1
,,,2050123输（采供）血医师,输（采供）血医师,2,1
,,20502中医医师,2050201中医内科医师,中医内科医师,1,1
,,,2050202中医外科医师,中医外科医师,1,1
,,,2050203中医妇科医师,中医妇科医师,1,1
,,,2050204中医儿科医师,中医儿科医师,1,1
,,,2050205中医眼科医师,中医眼科医师,1,1
,,,2050206中医皮肤科医师,中医皮肤科医师,1,1
,,,"2050207中医骨伤科医师(旧)1002006跌打损伤治疗人员",中医骨伤科医师,2,1
,,,2050208中医肛肠科医师,中医肛肠科医师,1,1
,,,2050209中医耳鼻喉科医师,中医耳鼻喉科医师,1,1
,,,2050210针炙科医师,针炙科医师,1,1
,,,2050211推拿按摩科医师,推拿按摩科医师,2,1
,,20503中西医结合医师,2050301中西医结合医师,中西医结合医师,1,1
,,20504民族医师,2050401民族医师,民族医师,1,1
,,20505公共卫生医师,2050501流行病学医师,流行病学医师,1,1
,,,2050502营养与食品卫生医师,营养与食品卫生医师,1,1
,,,2050503环境卫生医师,环境卫生医师,1,1
,,,2050504职业病医师,职业病医师,1,1
,,,2050505劳动(职业)卫生医师,劳动（职业）卫生医师,1,1
,,,2050506放射卫生医师,放射卫生医师,2,1
,,,2050507少儿和学校卫生医师,少儿和学校卫生医师,1,1
,,,2050508健康管理师,健康管理师,1,1
,,,2050509公共营养师,公共营养师,1,1
,,20506药剂人员,2050601西药剂师,1西药剂师,1,1
,,,2050602中药药师,中药药师,1,1
,,20507医疗技术人员,2050701影像技师,影像技师,2,1
,,,2050702麻醉技师,麻醉技师,1,1
,,,"2050703病理技师",病理技师,1,1
,,,2050704临床检验技师,临床检验技师,1,1
"第二大类2专业技术人员",205卫生专业技术人员,20507医疗技术人员,2050705公卫检验技师,公卫检验技师,1,1
,,,2050706卫生工程技师,卫生工程技师,1,1
,,,2050707输(采供)血技师,输（采供）血技师,2,1
,,,2050708放射线之技术人员,放射线之技术人员,2,1
,,,2050709放射线之修理人员,放射线之修理人员,4,1
,,,2050710医学设备管理师,医学设备管理师,2,1
,,20508护理人员,2050801病房护士,病房护士,1,1
,,,2050802门诊护士,门诊护士,1,1
,,,2050803急诊护士,急诊护士,2,1
,,,2050804手术室护士,手术室护士,2,1
,,,2050805供应室护士,供应室护士,1,1
,,,2050806社区护士,社区护士,1,1
,,,"2050807助产士",助产士,2,1
,,,2050808医疗救护员,医疗救护员,1,1
,,20599其他卫生专业技术人员,2059901一般医务行政人员,一般医务行政人员,1,1
,,,"2059902监狱、看守所医生护理人员",监狱、看守所医生护理人员,4,1
,206经济业务人员,20601经济计划人员,2060101经济计划人员,经济计划人员,1,1
,,20602统计人员,2060201统计人员,统计人员,1,1
,,20603会计人员,"2060301会计人员",会计人员,1,1
,,20604审计人员,2060401审计人员,审计人员,1,1
,,20605国际商务人员,2060501国际商务人员,国际商务人员,1,1
,,20606品牌专业人员,2060601品牌管理师,品牌管理师,1,1
,,20607分析人员,2060701职业信息分析师,职业信息分析师,1,1
,,,2060702调查分析师,调查分析师,1,1
,,,2060703黄金投资分析师,黄金投资分析师,1,1
,207金融业务人员,20701银行业务人员,2070101银行货币发行员,银行货币发行员,1,1
,,,2070102银行国库业务员,银行国库业务员,1,1
,,,2070103银行外汇管理员,银行外汇管理员,1,1
,,,2070104银行清算员,银行清算员,1,1
,,,2070105银行信贷员,银行信贷员,2,1
,,,2070106银行国际业务处理人员,银行国际业务处理人员,1,1
,,,2070107银行信托业务处理人员,银行信托业务处理人员,1,1
,,,2070108银行信用卡业务处理人员,银行信用卡业务处理人员,1,1
,,,2070109银行储蓄员,银行储蓄员,1,1
,,,"2070110现金运送车司机、点钞员、押送员",现金运送车司机、点钞员、押送员,3,1
"第二大类2专业技术人员",207金融业务人员,20702保险业务人员,2070201精算师,精算师,1,1
,,,2070202保险推销员,保险推销员,2,1
,,,2070203保险理赔员,保险理赔员,1,1
,,,"2070204保险收费员",保险收费员,2,1
,,,"2070205保险调查员",保险调查员,2,1
,,,"2070206征信人员",征信人员,2,1
,,20703证券业务人员,2070301证券发行员,证券发行员,1,1
,,,2070302证券交易员,证券交易员,1,1
,,,2070303证券投资顾问,证券投资顾问,1,1
,,20704信用管理人员,2070401信用管理师,信用管理师,1,1
,,20799其他金融业务人员,"2079901金融一般内勤人员",金融一般内勤人员,1,1
,,,"2079902金融外务员",金融外务员,2,1
,208法律专业人员,20801法官,2080101法官,法官,1,1
,,20802检察官,2080201检察官,检察官,1,1
,,20803律师,"2080301律师",律师,1,1
,,20804公证员,2080401公证员,公证员,1,1
,,20805司法鉴定人员,2080501法医,法医,2,1
,,20806书记员,2080601书记员,书记员,1,1
,,20807商业犯罪调查处理人员,2080701商业犯罪调查处理人员,商业犯罪调查处理人员,3,1
,209教学人员,20901高等教育教师,"2090101高等教育教师",高等教育教师,1,1
,,20902中等职业教育教师,2090201中等职业教育理论,中等职业教育理论,1,1
,,,2090202实习指导教师,实习指导教师,1,1
,,20903中学教师,2090301中学教师,中学教师,1,1
,,20904小学教师,2090401小学教师,小学教师,1,1
,,20905幼儿教师,2090501幼儿教师,幼儿教师,1,1
,,20906特殊教育教师,2090601特殊教育教师,特殊教育教师,1,1
,,20907家庭教师,2090701家庭教师,家庭教师,1,1
,,20999其他教学人员,"2099901校工",校工,2,1
,,,"2099902军训教官、体育教师",军训教官、体育教师,2,1
,,,"2099903汽车驾驶训练班教练",汽车驾驶训练班教练,3,1
"第二大类2专业技术人员",209教学人员,20999其他教学人员,"2099904各项运动教练",各项运动教练,2,1
,,,2099905飞行教官,飞行教官,6,2
,,,2099906飞行训练学员,飞行训练学员,6,1
,,,"2099907一般学生",一般学生,1,1
,,,2099908学龄前儿童,学龄前儿童,1,1
,210文学艺术工作人员,21001文艺创作和评论人员,"2100101文学作家",文学作家,1,1
,,,2100102曲艺作家,曲艺作家,1,1
,,,"2100103剧作家",剧作家,1,1
,,,"2100104作曲家",作曲家,1,1
,,,2100105词作家,词作家,1,1
,,,2100106文艺评论员,文艺评论员,1,1
,,,2100107皮影戏木偶戏作家,皮影戏木偶戏作家,1,1
,,21002编导和音乐指挥人员,"2100201电影电视导演",电影电视导演,2,1
,,,2100202戏剧导演,戏剧导演,1,1
,,,2100203舞蹈编导,舞蹈编导,1,1
,,,2100204音乐指挥,音乐指挥,1,1
,,,"2100205武术指导",武术指导,3,1
,,21003演员,2100301电影电视演员,电影电视演员,2,1
,,,"2100302戏剧演员",戏剧演员,2,1
,,,"2100303舞蹈演员",舞蹈演员,2,1
,,,2100304曲艺演员,曲艺演员,1,1
,,,2100305杂技魔术演员,杂技魔术演员,3,1
,,,2100306歌唱演员,歌唱演员,2,1
,,,2100307皮影戏演员,皮影戏演员,1,1
,,,2100308木偶戏演员,木偶戏演员,1,1
,,,"2100309武打演员",武打演员,5,2
,,,"2100310特技演员",特技演员,7,3
,,,2100311高空杂技飞车飞人演员,高空杂技飞车飞人演员,7,3
"第二大类2专业技术人员",210文学艺术工作人员,21003演员,2100312配音演员,配音演员,1,1
,,21004乐器演奏员,2100401民族乐器演奏员,民族乐器演奏员,1,1
,,,2100402外国乐器演奏员,外国乐器演奏员,1,1
,,21005电影电视制作及舞台专业人员,"2100501电影电视制片",电影电视制片,1,1
,,,"2100502电影电视场记",电影电视场记,2,1
,,,2100503电影电视摄影师,3电影电视摄影师,2,1
,,,2100504照明师,照明师,2,1
,,,2100505录音师,录音师,1,1
,,,2100506剪辑师,剪辑师,1,1
,,,2100507美工师,美工师,1,1
,,,"2100508化妆师",化妆师,1,1
,,,"2100509置景师",置景师,4,1
,,,2100510道具师,道具师,2,1
,,,2100511电影电视片发行人,电影电视片发行人,1,1
,,,2100512舞台监督,舞台监督,1,1
,,,2100513戏剧制作人,戏剧制作人,1,1
,,,"2100514影片商",影片商,1,1
,,,2100515灯光及音响工作人员,灯光及音响工作人员,2,1
,,,"2100516冲片人员",冲片人员,2,1
,,,"2100517洗片人员",洗片人员,2,1
,,,"2100518机械工电工",机械工电工,4,1
,,21006美术专业人员,"2100601画家",画家,1,1
,,,2100602篆刻家,篆刻家,2,1
,,,"2100603雕塑家",雕塑家,2,1
,,,2100604书法家,书法家,1,1
,,,2100605陶艺家,陶艺家,2,1
,,21007工艺美术专业人员,2100701特种工艺设计人员,特种工艺设计人员,1,1
,,,2100702实用工艺设计人员,实用工艺设计人员,1,1
