生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
,,,2)港口作业-缉私人员,,,,,,73011,,拒保,,50,,,2,,
,,,2)港口作业-拖船和渡轮驾驶员及工作人员,,,,,,73012,,5,,25,,,1.5,,
,,,3)救难船员,,,,,,73013,,拒保,,50,,,拒保,,
,,,4)垃圾船工作人员,,,,,,73014,,拒保,,标准,,,拒保,,
,,,5)客货轮船长,,,,,,73015,,6,,50,,,2,,
,,,轮机长,,,,,,73016,,6,,50,,,2,,
,,,大副,,,,,,73017,,6,,50,,,2,,
,,,二副,,,,,,73018,,6,,50,,,2,,
,,,事务长,,,,,,73019,,6,,50,,,2,,
,,,医务人员,,,,,,73020,,6,,50,,,2,,
,,,报务员,,,,,,73021,,6,,50,,,2,,
,,,水手长,,,,,,73022,,6,,50,,,2,,
空运074,,,1)机场,,,,,,,,,,,,,,,
空运074,,,1)机场-站长,,,,,,74001,,1,,标准,,,1,,
,,,1)机场-播音员,,,,,,74002,,1,,标准,,,1,,
,,,1)机场-服务室人员,,,,,,74003,,1,,标准,,,1,,
,,,1)机场-一般内勤人员,,,,,,74004,,1,,标准,,,1,,
,,,1)机场-塔室工作人员,,,,,,74005,,1,,标准,,,1,,
,,,1)机场-关务人员、检查人员、运务人员,,,,,,74006,,1,,标准,,,1,,
,,,1)机场-缉私人员,,,,,,74007,,2,,标准,,,1,,
,,,1)机场-清洁工人,,,,,,74008,,2,,标准,,,1,,
,,,1)机场-机场内交通车司机,,,,,,74009,,3,,标准,,,1,,
,,,1)机场-行李货运搬运员,,,,,,74010,,3,,标准,,,1,,
,,,1)机场-加添燃料员,,,,,,74011,,4,,标准,,,1,,
,,,1)机场-飞机洗涮人员,,,,,,74012,,5,,标准,,,1,,
,,,1)机场-清洁工(高墙或天花板但不超过2层楼高),,,,,,74013,,5,,标准,,,1,,
,,,1)机场-清洁工(高空作业),,,,,,74014,,拒保,,拒保,,,拒保,,
,,,1)机场-跑道维修工,,,,,,74015,,4,,标准,,,1,,
,,,1)机场-机械员,,,,,,74016,,4,,标准,,,1,,
,,,1)机场-飞机维修人员,,,,,,74017,,4,,标准,,,1,,
,,,1)机场-灯塔修理员,,,,,,74018,,6,,25,,,2,,
,,,2)航空公司,,,,,,,,,,,,,,,
,,,2)航空公司-办事处人员,,,,,,74019,,1,,标准,,,1,,
,,,2)航空公司-票务人员,,,,,,74020,,1,,标准,,,1,,
,,,2)航空公司-机场柜台人员,,,,,,74021,,1,,标准,,,1,,
,,,,,2)航空公司-清仓员,,,,,,74022,,2,,,标准,,1
,,,,,3)航空货运,,,,,,,,,,,,,
,,,,,3)航空货运-一般内勤人员,,,,,,74023,,1,,,标准,,1
,,,,,3)航空货运-运报关、外务人员,,,,,,74024,,2,,,标准,,1
,,,,,3)航空货运-理货员,,,,,,74025,,3,,,标准,,1
,,,,,4)空勤人员,,,,,,,,,,,,,
,,,,,4)空勤人员-民航机飞行人员,,,,,,74026,,5,,,25,,1.5
,,,,,4)空勤人员-机上服务员,,,,,,74027,,5,,,25,,1.5
,,,,,4)空勤人员-直升机飞行员,,,,,,74028,,6,,,个案,,拒保
,,,,,4)空勤人员-航空公司飞行训练教官及学员,,,,,,74029,,拒保,,,25,,拒保
餐旅业08,旅游业081,,,,一般内勤人员,,,,,,81001,,1,,,标准,,1
,,,,,外务员及导游,,,,,,81002,,2,,,标准,,1
,旅馆业082,,,,经理人员,,,,,,82001,,1,,,标准,,1
,,,,,一般内勤服务人员,,,,,,82002,,1,,,标准,,1
,,,,,外务员,,,,,,82003,,2,,,标准,,1
,,,,,技工、修理工(非室外高空作业),,,,,,82004,,4,,,标准,,1
,,,,,技工、修理工(室外高空作业),,,,,,82005,,拒保,,,50,,2
,,,,,客房服务员,,,,,,82006,,2,,,标准,,1
,,,,,清洁工,,,,,,82007,,3,,,标准,,1
,,,,,锅炉工(全自动),,,,,,82008,,5,,,标准,,1
,,,,,锅炉工(非全自动),,,,,,82009,,6,,,25,,1.5
,餐饮业083,,,,经理人员,,,,,,83001,,1,,,标准,,1
,,,,,一般内勤人员,,,,,,83002,,1,,,标准,,1
,,,,,柜台人员、收银员,,,,,,83003,,1,,,标准,,1
,,,,,收帐员,,,,,,83004,,2,,,标准,,1
,,,,,采购人员,,,,,,83005,,2,,,标准,,1
,,,,,厨师(宾馆),,,,,,83006,,3,,,标准,,1
,,,,,点心师,,,,,,83007,,3,,,标准,,1
,,,,,服务人员、领班,,,,,,83008,,2,,,标准,,1
,,,,,厨师(一般饭店酒楼),,,,,,83009,,4,,,标准,,1
,,,,,厨房杂工,,,,,,83010,,3,,,标准,,1
,,,,,餐具清洗保管员,,,,,,83011,,2,,,标准,,1
,,,,,调酒师,,,,,,83012,,1,,,标准,,1
,,,,,外务员,,,,,,83013,,2,,,标准,,1
建筑工程业09,建筑公司091(土木工程),,,,经理人员(非现场者),,,,,,91001,,1,,,标准,,1
,,,,,经理人员(不亲自作业、偶至现场指导),,,,,,91002,,2,,,标准,,1
,,,,,建筑师,,,,,,91003,,1,,,标准,,1
,,,,,制图员,,,,,,91004,,1,,,标准,,1
,,,,,行政内勤人员,,,,,,91005,,1,,,标准,,1
,,,测量员,,,,,,91006,,3,,标准,,,1,,
,,,工程师,,,,,,91007,,3,,标准,,,1,,
,,,监工,,,,,,91008,,3,,标准,,,1,,
,,,业务员,,,,,,91009,,3,,标准,,,1,,
,,,引导参观工地服务人员,,,,,,91010,,3,,标准,,,1,,
,,,承包单位工程负责人员（非现场工作）,,,,,,91011,,3,,标准,,,1,,
,,,建筑工人,,,,,,,,,,,,,,,
,,,建筑工人-领班,,,,,,91012,,4,,标准,,,1,,
,,,建筑工人-模板工,,,,,,91013,,5,,标准,,,1,,
,,,建筑工人-木匠,,,,,,91014,,5,,标准,,,1,,
,,,建筑工人-泥水匠,,,,,,91015,,5,,标准,,,1,,
,,,建筑工人-混凝土混合机操作员,,,,,,91016,,5,,标准,,,1,,
,,,建筑工人-油漆工,,,,,,91017,,5,,50,,,1.5,,
,,,建筑工人-水电工,,,,,,91018,,4,,标准,,,1,,
,,,建筑工人-钢骨结构工人,,,,,,91019,,拒保,,25,,,2,,
,,,建筑工人-脚手架设工人,,,,,,91020,,拒保,,25,,,2,,
,,,建筑工人-焊工,,,,,,91021,,拒保,,25,,,2,,
,,,建筑工人-建筑工程车辆驾驶员,,,,,,91022,,5,,25,,,2,,
,,,建筑工人-建筑工程车辆机械操作员,,,,,,91023,,5,,25,,,2,,
,,,建筑工人-磨石工人,,,,,,91024,,4,,50,,,1.5,,
,,,建筑工人-洗石工人,,,,,,91025,,4,,50,,,1.5,,
