泰康在线职业分类表,,,,,
,,,,,
大分类,中分类,,小分类,,职业等级
,,,00748028,糕点装饰工,1
,,,00748029,米面主食制作工,3
,,,00748030,油脂制品工,2
,,,00748031,植物蛋白制作工,2
,,,00748032,豆制品制作工,3
,,,00748034,肠衣工,3
,,,00748035,禽类屠宰加工工,3
,,,00748036,熟肉制品加工工,3
,,,00748037,蛋品及再制蛋品加工工,2
,,,00748038,饲料原料清理上料工,2
,,,00748039,饲料粉碎工,3
,,,00748040,饲料配料混合工,2
,,,00748041,饲料制料工,3
,,,00748042,饲料添加剂预混工,2
,,,00748043,饲料厂中央控制室操作工,2
,,,00748044,领班、监工,2
,,,00748045,冰块制造工人,3
,,,00748046,技师(食品原料制造业),2
,,,00748047,食品饮料制造工人,3
,00749,玻璃\陶瓷\搪瓷制制造业,00749001,玻璃配料工,3
,,,00749007,监工,3
,,,00749011,陶瓷原料准备工,3
,,,00749015,匣钵、模型制作工,3
,,,00749016,古建琉璃工,3
,,,00749018,搪瓷坯体制作工,3
,,,00749019,搪瓷涂搪烧成工,3
,,,00749020,搪瓷花版饰花工,3
,,,00749021,工程师,2
,,,00749022,领班,3
,,,00749030,砖、瓦生产工,3
,,,00749039,炉前工,3
,,,00749042,匣钵\模型制作工人(陶瓷),3
,,,00749043,负责行政工作（经理、文员、零售商）,1
,00750,烟草制品加工业,00750001,内勤行政工作人员,1
,,,00750002,工程师\领班\监工,2
,,,00750003,烟叶调制工,2
,,,00750004,烟叶分级工,2
,,,00750005,挂杆复烤工,2
,,,00750006,打叶复烤工,2
,,,00750007,烟叶回潮工,2
,,,00750008,烟叶发酵工,2
,,,00750009,烟叶制丝工,3
,,,00750010,膨胀烟丝工,3
,,,00750011,白肋烟处理工,2
,,,00750012,烟草薄片工,3
,,,00750013,卷烟卷接工,3
,,,00750014,烟用二醋片制造工,3
,,,00750015,烟用丝束制造工,3
,,,00750016,滤棒工,3
,00751,医疗用品\制药业,00751001,化学合成制药工,3
,,,00751002,生化药品制造工,2
,,,00751003,发酵工程制药工,2
,,,00751004,疫苗制品工,3
,,,00751005,血液制品工,3
,,,00751006,基因工程产品工,2
,,,00751007,药物制剂工,2
,,,00751008,淀粉葡萄糖制造工,3
,,,00751009,医药代表,2
,,,00751010,一般内勤人员,1
,,,00751011,技师\产品研究人员,2
,,,00751012,中药材种植人员,2
,,,00751013,中药炮制与配制工,2
,,,00751014,中药液体制剂工,2
,,,00751015,中药固体制剂工,2
,,,00751016,医疗器械装配工,3
,,,00751017,假肢制作装配工,2
,,,00751018,矫形器制作装配工,2
,,,00752003,地毯制作工,2
,,,00752004,金属、塑料、木制玩具装配工,3
,,,00752005,布绒玩具制作工,3
,,,00752006,搪塑玩具制作工,3
,,,00752007,漆器制胎工,3
,,,00752008,彩绘雕填制作工,2
,,,00752009,漆器镶嵌工,2
,,,00752010,机绣工,2
,,,00752011,手绣制作工,2
,,,00752012,抽纱挑编工,2
,,,00752014,金属摆件工,3
,,,00752015,金属手工艺品加工工人,3
,,,00752016,金属工艺品雕刻工,3
,,,00752017,竹木制手工艺品雕刻工,3
,,,00752018,玉器加工技师,2
,,,00752019,玉器加工工人,3
,,,00752020,装饰美工,2
,,,00752021,雕塑翻制工,3
,,,00752024,装裱工,2
,,,00752025,版画制作工,2
,,,00752026,民间工艺品制作工,2
,,,00752027,人造花制作工,2
,,,00752028,工艺画制作工,2
,,,00752030,布类纸品工艺品加工工人,2
,,,00752032,竹木制手工艺品加工工人,3
,,,00752033,漆器工艺品制作人员,3
,,,00752037,皮革手工艺品制作工,2
,,,00752038,砖木制品生产人员,3
,,,00752039,珠宝首饰加工制作人员,2
,,,00752040,美术品制作人员,2
,00753,文体用品制造业,00753001,墨制作工,3
,,,00753002,墨水制造工,2
,,,00753003,墨汁制造工,3
,,,00753004,绘图仪器制作工,2
,,,00753005,静电复印机消耗材制造工,2
,,,00753006,毛笔制作工,2
,,,00753007,自来水笔制作工,2
,,,00753008,圆珠笔制作工,2
,,,00753009,铅笔制造工,3
,,,00753010,印泥制作工,2
,,,00753011,制球工,2
